id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
25f61388-fa3f-4e81-9e07-163d0faccdcb,Luan Melo,1947-06-17,516.872.702-61,40254-892,Farias do Galho,AL,Brasil,F,+55 61 8478 3520,51687270261@exemplo.com.br,2025-04-02
dd8bbc25-27cf-495a-9791-cfaea4243424,Henrique da Mata,2000-09-11,618.940.068-74,58673882,Pastor das Pedras,TO,Brasil,F,21 1295-9834,61894006874@exemplo.com.br,2024-01-29
a527ebe0-a235-4074-9bb8-2275e60c8be2,Enzo Gabriel Borges,1959-04-07,308.997.476-03,46854840,Fogaça das Pedras,PR,Brasil,F,(061) 4095-9938,30899747603@exemplo.com.br,2024-05-23
5c0b9af0-04b8-437c-92cc-578a0ad1f0d7,Joana Montenegro,2007-10-08,993.988.328-55,95869280,Lopes,RJ,Brasil,F,+55 71 9699 0957,99398832855@exemplo.com.br,2025-04-01
d9e9417c-43d5-483d-a573-461ae7983401,Matheus Nascimento,1948-12-08,736.755.229-61,07166-845,Nascimento de Castro,SE,Brasil,F,+55 84 5503 5745,73675522961@exemplo.com.br,2024-01-18
4afa4f22-1bb5-4fca-9283-83b932be65b2,Lara Cunha,1983-07-04,256.964.623-85,69414346,Vieira Grande,SE,Brasil,M,+55 (011) 4649 4706,25696462385@exemplo.com.br,2024-05-03
7f7beed3-12f3-4826-9776-e5922513e813,Bárbara Siqueira,1969-01-14,266.363.452-60,07536497,Porto,SC,Brasil,M,+55 (061) 2261 2233,26636345260@exemplo.com.br,2024-11-26
4bd879e9-dbe2-465e-b302-d5a8a0c0ac29,Sr. Rhavi Fonseca,1985-07-03,647.243.811-00,71583263,Santos,RN,Brasil,F,+55 (021) 5027 3687,64724381100@exemplo.com.br,2024-11-13
02aca5b0-3d5a-4c88-bc14-18962049d52c,Ester Guerra,1956-08-17,224.386.089-82,61366-770,Gonçalves de Pinto,AP,Brasil,M,(011) 7463-0896,22438608982@exemplo.com.br,2024-10-11
49d64b35-1735-4e77-953e-c3655e55b9cd,Rafael Freitas,1966-04-28,573.642.010-57,89119-901,Camargo de Lopes,CE,Brasil,F,+55 61 4179 3246,57364201057@exemplo.com.br,2025-06-22
ef52605a-a4ee-4c3d-98a9-570f668ffbbd,Luiz Otávio Vargas,1964-03-01,721.006.435-91,19452-667,Correia Paulista,RN,Brasil,M,+55 11 7540-4156,72100643591@exemplo.com.br,2024-03-02
6b807d52-2728-41aa-848c-d989ea0bd41d,Dra. Olívia Andrade,1953-06-25,319.431.264-14,44622-522,Nogueira do Galho,PI,Brasil,M,+55 (071) 3470-5653,31943126414@exemplo.com.br,2025-02-20
510c3c52-8706-4da3-ae62-1a4519e6d674,Theodoro da Costa,2004-09-27,653.662.975-14,08325667,Silva,PE,Brasil,F,+55 (084) 6147-3509,65366297514@exemplo.com.br,2025-07-24
60ceaf14-8498-4944-9a2b-5f56cba30f65,Isaque Melo,1939-08-12,993.636.954-98,61594766,Andrade,MS,Brasil,F,+55 (061) 6453 3411,99363695498@exemplo.com.br,2025-04-22
8ec1526c-4a08-44d7-ae25-f1e6e7e1387f,Sra. Bruna Gonçalves,1981-12-14,448.383.803-10,93830285,da Conceição,RN,Brasil,M,+55 41 6024-1132,44838380310@exemplo.com.br,2024-06-20
5bd84cb0-55b6-4f1c-a9c4-6d50ad81e815,Alexia Viana,1993-10-28,332.160.538-98,07496-781,Peixoto,RN,Brasil,F,+55 (071) 5267-9086,33216053898@exemplo.com.br,2024-05-05
323df420-4385-4674-a4f8-094cdfa4ef7f,Maya Pinto,1982-04-15,402.812.096-64,57697181,Pereira Grande,RS,Brasil,F,0900 373 3129,40281209664@exemplo.com.br,2024-01-11
54fc76f5-f496-4d50-bd6c-952464032c3b,Ana Luiza Vargas,2005-01-31,249.983.119-59,89371-316,Duarte,DF,Brasil,F,+55 (011) 7629 3627,24998311959@exemplo.com.br,2024-11-05
bb521321-c70f-469f-892d-16b59d4f5be4,Mariana Ribeiro,1952-07-31,158.517.624-88,02374-121,Cavalcanti,RN,Brasil,M,+55 (031) 4684-3565,15851762488@exemplo.com.br,2025-04-08
6831b9c4-da72-41bf-9ca9-f28ff825f935,Sr. Ian Mendes,1968-02-09,514.015.237-84,26556267,Macedo,AL,Brasil,F,+55 (061) 6980-4056,51401523784@exemplo.com.br,2024-09-05
fe5be1fe-ae74-4163-8283-9ade3500110f,Luiz Miguel Caldeira,1978-02-13,034.670.470-21,75593-181,Correia,AC,Brasil,M,84 2744 0148,03467047021@exemplo.com.br,2024-03-24
57f4fc93-9e84-49ad-b5eb-b576444571ff,Marcelo Rezende,1999-09-13,063.207.249-45,42757-584,Vieira,PI,Brasil,F,+55 (061) 2176 7040,06320724945@exemplo.com.br,2025-02-12
a43dab87-69c2-4a26-a994-677129453a39,Caleb Viana,1953-10-25,692.384.505-51,01354003,da Cunha,PA,Brasil,F,(071) 2011-8411,69238450551@exemplo.com.br,2023-11-17
b40f137e-d5dc-4c19-8f24-587dbdfc23a0,Lucas Gabriel Montenegro,1969-06-06,192.062.862-90,04944882,Caldeira,DF,Brasil,F,+55 (071) 3119-3002,19206286290@exemplo.com.br,2025-07-03
29d542eb-dc66-408b-9d29-7cf8ba76819d,Dom Dias,1944-06-15,372.386.662-09,90062375,da Paz de Aragão,SE,Brasil,F,+55 41 5273-0270,37238666209@exemplo.com.br,2024-01-10
1f390fdd-b9cf-42dc-81e0-99106917599d,Dr. Juan Lima,1975-12-21,550.362.022-20,60892-389,Cunha,PI,Brasil,F,31 2978 5057,55036202220@exemplo.com.br,2024-02-22
e2e7e67c-e53e-4427-977d-c6cd2427bf5b,Maria Fernanda da Paz,1966-08-11,306.549.397-00,09679-531,Fonseca,MS,Brasil,F,+55 (061) 0392 2049,30654939700@exemplo.com.br,2025-08-30
3f2ab033-dc11-4c13-a9f4-308eee5d4133,Vicente Abreu,1950-04-11,849.067.006-66,12999803,Pires,MA,Brasil,F,(084) 0304-7023,84906700666@exemplo.com.br,2024-07-10
8e85a513-b9c8-4c84-a337-6aaddf24ecb1,Daniela Pimenta,1985-05-11,021.546.691-09,39847835,Albuquerque,PB,Brasil,M,51 5261 9533,02154669109@exemplo.com.br,2024-07-16
3bd3e41e-1861-49a0-a536-b1c58e041845,Luan Guerra,2007-08-23,547.628.178-44,14316583,Nunes,AM,Brasil,M,0500-098-8338,54762817844@exemplo.com.br,2024-08-14
e84647fe-073f-4e98-8121-42e9b0acc1d8,Luiz Henrique Rios,1970-09-11,046.932.078-74,09237-973,Monteiro,GO,Brasil,F,(051) 4421 7718,04693207874@exemplo.com.br,2024-04-12
ff992138-3a0b-414d-90b2-aa31a48f1440,Luiz Otávio Rezende,1939-11-27,480.425.361-68,95886-975,Guerra,RO,Brasil,F,21 6556-3875,48042536168@exemplo.com.br,2024-06-11
b75acd25-776e-4179-bf7c-69795d2eb011,Cauê Casa Grande,1957-04-14,556.511.827-24,45295776,Novaes,AP,Brasil,M,+55 41 3043 6987,55651182724@exemplo.com.br,2025-01-04
9ac742f3-bd1b-4e30-9416-7496791aff73,Dra. Rafaela Guerra,2000-07-20,019.111.010-29,02952467,Nunes,BA,Brasil,M,+55 81 4898-6065,01911101029@exemplo.com.br,2024-12-08
0876db41-1a3a-42b9-9f9a-c9cb4ea4b314,Dra. Heloisa Ribeiro,1942-05-24,842.294.056-82,71959477,da Costa de Minas,ES,Brasil,F,+55 81 3021-4409,84229405682@exemplo.com.br,2025-10-21
c870fe1f-4534-4a59-b6bf-a17bfe61a62f,Alexia Nunes,1963-10-08,716.583.270-71,62907227,Ribeiro da Mata,MT,Brasil,M,51 3836 9081,71658327071@exemplo.com.br,2024-02-03
3b8665eb-b24b-4536-aeda-2f179de91a54,Enzo Mendes,1997-03-19,400.491.276-99,65784729,Rios,ES,Brasil,M,+55 61 8836-5860,40049127699@exemplo.com.br,2025-10-29
731b8202-ff40-46d9-aa57-ab5d77bc040b,Nathan Rodrigues,2002-03-22,578.853.374-91,09865-912,Rocha,ES,Brasil,M,0500 114 3196,57885337491@exemplo.com.br,2024-05-29
8f58ffc3-c540-4667-bab7-979cbc6f38dc,Gustavo Henrique da Costa,1963-02-09,747.128.391-14,86583-075,Jesus,RS,Brasil,F,0900-992-4821,74712839114@exemplo.com.br,2024-05-11
58979b03-f7c1-4245-9455-4ff2a919d1eb,Srta. Maria Alice Andrade,1947-01-04,550.791.802-05,92496-674,Pinto do Oeste,MA,Brasil,M,0500-437-2986,55079180205@exemplo.com.br,2025-09-10
f01611ca-d7f9-4e96-b577-193f2541a2ad,Maria Alice Rocha,1973-03-01,398.926.972-98,57252399,Novais,RR,Brasil,F,+55 (051) 3340-0220,39892697298@exemplo.com.br,2025-02-20
168f2270-1b2f-40b1-bc40-5afd09eda604,Caroline Sá,1995-09-02,965.612.020-34,57488238,Freitas do Amparo,AL,Brasil,F,84 9375 0090,96561202034@exemplo.com.br,2024-05-25
bdb7e202-b3ff-468f-a441-83a870be3f46,Leandro Abreu,1943-06-17,519.117.236-88,41031923,da Cruz,RJ,Brasil,F,0900-044-2414,51911723688@exemplo.com.br,2024-06-05
39d466e9-dd89-4a9a-8028-22db22cc8b98,Otto Porto,1966-05-02,916.648.450-06,33483694,Gomes de Goiás,PE,Brasil,M,+55 81 0203 8806,91664845006@exemplo.com.br,2025-05-04
4d1b3162-8d18-491f-b348-f79994229586,Sr. Davi das Neves,1987-02-08,984.629.663-86,49801-936,Rodrigues de Ribeiro,PI,Brasil,F,84 7134 3927,98462966386@exemplo.com.br,2023-11-25
169c1dd0-3d73-426e-8299-0d80dcc1e8da,Dra. Camila da Paz,1947-09-16,339.897.204-01,58830942,Pereira de Vieira,BA,Brasil,F,0900 479 7537,33989720401@exemplo.com.br,2025-06-23
f57b1e1e-dfdd-40e6-a94c-c695130646ad,Gabriela Cirino,1946-08-06,180.501.473-28,49379206,Barros,GO,Brasil,F,(031) 4967 7376,18050147328@exemplo.com.br,2025-02-21
7c5c5b43-297c-4f2a-acad-febda158bb6d,Sra. Beatriz Fernandes,1992-07-17,686.375.139-05,68925-503,Oliveira,GO,Brasil,F,+55 (011) 3020-5873,68637513905@exemplo.com.br,2023-11-25
1ec6137c-b4bb-40f3-aef2-71a4f6ded9e6,Mathias Brito,1956-10-18,938.174.346-82,68688-268,Caldeira de Brito,CE,Brasil,F,81 0912-5978,93817434682@exemplo.com.br,2024-08-25
34291d8a-5c49-4eef-9011-fcb84ec8ea25,Kaique Marques,1978-11-23,721.239.503-72,70397-812,Lima,CE,Brasil,F,+55 61 3469 2845,72123950372@exemplo.com.br,2024-01-02
191f2408-8662-477b-973f-d21530a4b2e2,Srta. Maria Flor Sousa,1997-12-10,488.941.975-18,33125912,Oliveira de Goiás,RR,Brasil,F,71 4872 4195,48894197518@exemplo.com.br,2024-10-01
7b8f8c5f-e275-4cbb-a397-66513df26eed,Srta. Stephany Araújo,2000-04-24,415.323.285-72,33468460,Cavalcanti de Campos,SE,Brasil,M,(051) 7234-7114,41532328572@exemplo.com.br,2024-11-23
95356a45-e9bd-451a-89cf-dc94cd82d40c,Srta. Rebeca Carvalho,1994-02-17,667.404.698-16,40624-012,Lopes,DF,Brasil,F,(071) 5011-5461,66740469816@exemplo.com.br,2024-12-18
38805e64-a474-406b-881c-ca18cc5207f8,Bruno Silva,1939-05-30,932.037.351-03,58445422,Silveira,RS,Brasil,M,(081) 3690 3151,93203735103@exemplo.com.br,2024-05-27
3606bd26-554c-4303-9b34-5328887ff232,Luiz Gustavo Campos,1978-02-05,165.839.032-08,79666417,Garcia Paulista,DF,Brasil,M,21 9931-2707,16583903208@exemplo.com.br,2023-11-24
68a5e12b-9227-4d95-9c24-72935320cd32,Bernardo Dias,2005-04-10,275.567.925-10,71369-540,Moreira Paulista,TO,Brasil,M,(021) 9206-2845,27556792510@exemplo.com.br,2024-08-23
babbe282-b941-4753-98e2-ba1ffc1f84f0,Natália Ribeiro,1975-02-26,273.672.236-63,63936-742,Cunha de Fogaça,SE,Brasil,M,+55 (084) 6832 3099,27367223663@exemplo.com.br,2024-07-29
36abbeb9-04fd-4c6a-a793-79bb92575132,Paulo Câmara,1947-11-19,976.466.282-92,30146-393,Pimenta,RN,Brasil,F,+55 (021) 1988 3739,97646628292@exemplo.com.br,2024-04-14
3fed5c82-7ca7-43f3-bd4b-337a676604bb,Sra. Ana Sophia da Cunha,1978-11-16,034.630.611-75,99410710,Duarte,PR,Brasil,F,(084) 1850 0036,03463061175@exemplo.com.br,2025-06-01
1039ad29-fc95-47b5-a011-4097d3c4cbef,Isabella Azevedo,1973-07-05,477.205.080-70,55566557,Martins,PE,Brasil,M,+55 (061) 1671 5075,47720508070@exemplo.com.br,2024-04-20
842886dd-fadc-4fd6-94c4-06a405fc1694,Davi Lucca Rocha,1992-12-03,129.392.582-93,76677275,Cirino,RJ,Brasil,F,81 5944-1990,12939258293@exemplo.com.br,2024-11-08
efac1633-8d41-4461-adb7-524f50c60534,Dr. Lorenzo Aparecida,1950-09-23,893.977.707-63,93094-351,Moreira,RN,Brasil,F,51 5397 3278,89397770763@exemplo.com.br,2025-04-13
799fb8a2-56b6-4ceb-a76c-08fcf7111443,Dr. Benício Barbosa,1943-10-26,588.037.381-51,32424377,Nogueira,AP,Brasil,M,(061) 7944 8750,58803738151@exemplo.com.br,2025-01-16
8934f7ce-92d5-490a-9956-ff76ec298973,Cauê Marques,1994-04-19,813.119.941-31,90578950,Lopes,MT,Brasil,M,+55 71 0653 4346,81311994131@exemplo.com.br,2024-03-27
df0917de-ff1f-4efa-ba70-9bf5b5021362,Henrique Cavalcanti,1979-06-12,631.118.414-61,03230-361,Cavalcanti,AM,Brasil,F,21 6053 3959,63111841461@exemplo.com.br,2023-12-01
7855140f-c580-4fcd-b19a-4507fd1fd677,Milena Cavalcante,1964-11-25,188.096.025-43,07066823,Pastor,AM,Brasil,M,+55 51 7025 8086,18809602543@exemplo.com.br,2025-03-15
9ab27820-79fd-4b3e-aede-fc023267c088,Bárbara Viana,1961-06-23,933.215.762-38,67258749,Pires de Minas,ES,Brasil,F,11 8307 4492,93321576238@exemplo.com.br,2025-05-30
c6e38a52-5740-4257-9360-810d01b0f395,Marcelo Rezende,1986-06-08,854.540.258-28,22448651,Pereira de Minas,ES,Brasil,M,84 3200-0176,85454025828@exemplo.com.br,2024-07-01
ab5b5c4d-bfb7-46ff-b56a-e50db9973c9f,André Andrade,1945-01-27,787.123.474-04,69028138,Costa,GO,Brasil,M,+55 41 2066 4443,78712347404@exemplo.com.br,2024-12-30
6ea5e763-1f7b-4628-854a-71feced4eeb1,Lívia Nogueira,1947-01-15,577.491.218-53,12392768,Vargas do Sul,MT,Brasil,M,+55 11 8482-1565,57749121853@exemplo.com.br,2025-08-04
306cb8f2-1df4-4f51-8558-ad3548ad7749,Asafe Camargo,2000-12-26,542.054.900-74,48310-992,Campos de Costela,AC,Brasil,F,+55 81 0874 2046,54205490074@exemplo.com.br,2025-03-14
d3054aea-50e7-407a-89cc-780588c852ca,Sra. Natália da Luz,1955-12-14,711.892.781-50,42909423,da Rocha,AC,Brasil,F,+55 31 0616 0758,71189278150@exemplo.com.br,2024-08-07
4b786e73-89f2-4863-9908-1ec0dea731ee,Dra. Eduarda Correia,1961-02-01,009.921.431-67,57997-231,Aragão,CE,Brasil,F,0900-888-6283,00992143167@exemplo.com.br,2025-05-19
eafaaad9-29c5-4b18-8eb0-6fa9d1253d50,Rebeca Monteiro,1959-05-14,234.061.735-34,12659-794,da Mota,AM,Brasil,F,(031) 7693-4800,23406173534@exemplo.com.br,2023-12-08
a8f1b3a9-b9f4-4050-bfe9-b423dbb06a5c,Asafe Pires,2004-04-18,246.804.995-30,72356348,Jesus das Flores,AL,Brasil,F,21 8882 8617,24680499530@exemplo.com.br,2025-02-21
328956c9-b1e1-46ca-aa8f-f5413315019d,Benjamim Cunha,1963-07-08,964.992.275-47,14956-472,Farias,SP,Brasil,M,11 3599 5891,96499227547@exemplo.com.br,2024-07-20
5fbe6558-e0b8-498b-b654-3820c9446e1f,Dr. Mateus Sousa,1969-08-02,364.580.294-38,46950-006,Almeida Paulista,AP,Brasil,M,+55 11 9710 2077,36458029438@exemplo.com.br,2023-12-19
e1dcdf5d-33aa-4067-902b-79435bc14359,Pedro Leão,1958-12-19,346.106.703-41,68240-839,Alves,RR,Brasil,M,+55 (021) 7671-7398,34610670341@exemplo.com.br,2023-12-09
68a9de7f-c933-4451-99bf-4e4cb7654218,Dr. Thales da Paz,1990-02-07,811.450.307-22,20275102,Rezende,RJ,Brasil,F,61 1738 8871,81145030722@exemplo.com.br,2025-05-01
68aa013a-5ada-4d23-be38-957abc02eaeb,Brenda Pinto,1970-01-25,976.795.429-61,12926841,da Cruz da Praia,PR,Brasil,M,+55 (061) 1010-6059,97679542961@exemplo.com.br,2024-02-21
731dcdea-8cb9-4105-96b4-c24fe3f0b329,Allana Cavalcanti,1975-04-27,309.875.457-98,50741-336,Almeida de Correia,PE,Brasil,F,11 0737-9488,30987545798@exemplo.com.br,2024-07-10
89679ac8-1232-4b7b-a8a6-b885435d9581,Sophie Borges,1952-07-19,115.890.634-41,34361-236,Silva do Galho,SC,Brasil,M,+55 (084) 7267 3751,11589063441@exemplo.com.br,2024-04-14
b2b287b8-9df4-4395-85db-c0b66a54b211,Olívia Jesus,1965-07-22,605.117.417-15,14186-604,Pastor das Pedras,AP,Brasil,F,+55 (031) 2670 1706,60511741715@exemplo.com.br,2024-04-01
791a2085-e14c-44a5-9dc1-ee0a8bb8073d,Maria Helena Castro,1982-06-24,844.249.430-82,04085673,Azevedo,GO,Brasil,F,+55 81 4540-3030,84424943082@exemplo.com.br,2025-10-04
f1b17eef-f098-4b63-b4fa-7f76bd1093c8,Mateus Fonseca,1975-05-17,426.007.096-66,88485-648,Borges de Minas,AP,Brasil,F,81 6258-6464,42600709666@exemplo.com.br,2025-10-14
752fc38d-6659-42ac-9294-57675496a314,Aylla Sousa,1956-09-28,492.933.227-07,15269190,Camargo,AL,Brasil,F,41 5788-0668,49293322707@exemplo.com.br,2025-08-26
f4f4750a-c8f3-4d2b-afba-748cb2cbeae2,Raquel Cavalcante,1940-11-01,520.761.229-08,17034-533,Almeida do Norte,GO,Brasil,F,+55 84 9995 5561,52076122908@exemplo.com.br,2024-01-20
711d7ab4-b5bc-4cda-aae9-1849beffc0b1,André Correia,2002-09-27,016.987.260-27,67695161,Martins,TO,Brasil,M,0900 986 7590,01698726027@exemplo.com.br,2024-10-21
d24bb736-90c7-468f-bb7b-8bd9a9c86881,Sr. João da Mota,1996-06-20,699.932.470-84,59198700,Nascimento,PI,Brasil,M,+55 (061) 9034 7085,69993247084@exemplo.com.br,2025-01-12
c1300bc4-8078-4693-9bd7-8fc08bc942ca,Theodoro Ribeiro,1954-10-23,896.881.562-24,60280057,Azevedo,RN,Brasil,F,+55 (041) 7815-7855,89688156224@exemplo.com.br,2024-10-06
ae1b147c-1f20-4bb0-84d9-f0039addf291,Isabella das Neves,1978-07-26,881.537.697-15,37811-355,Teixeira do Galho,TO,Brasil,M,+55 (051) 6472-5176,88153769715@exemplo.com.br,2025-04-25
77b82645-e1b6-46ff-b759-f3ab842e35f6,Yan Barbosa,1974-01-31,466.646.019-16,25313-212,Rodrigues,RR,Brasil,M,0500-303-8291,46664601916@exemplo.com.br,2025-03-21
9bbd7caa-9081-4257-97a1-540a769d6119,Elisa Rios,1960-10-06,696.134.712-43,48956-440,Fogaça do Oeste,ES,Brasil,F,+55 (081) 9818 6934,69613471243@exemplo.com.br,2024-11-22
